ORF,Batch,Gene,GO_process,GO_function,GO_component,deletion_phenotype,result_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,significant_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,rank_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,result_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,significant_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,rank_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,result_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,result_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20
YDL203C,chr4_3,YDL203C,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.319037,0,3904,-0.123205,0,3327,-0.766858,0,4626,-0.701296,0,4536
YDR153C,chr4_5,ENT5,Golgi to endosome transport,clathrin binding,cytoplasm*,viable,-0.319482,0,3905,-0.248509,0,3716,-0.299935,0,3096,-0.011945,0,2069
YBL079W,chr2_1,NUP170,mRNA-nucleus export*,structural molecule activity,nuclear pore,viable,-0.321814,0,3906,-0.182457,0,3518,0.512702,0,593,8.83e-4,0,1464
YNL195C,chr14_2,YNL195C,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.322012,0,3907,-0.115834,0,3293,-0.080723,0,2261,-0.452622,0,3665
YJL124C,chr10_2,LSM1,rRNA processing*,RNA cap binding,cytoplasmic mRNA processing body*,viable,-0.322531,0,3908,-0.291863,0,3832,-0.307435,0,3135,-0.310829,0,3081
YGR028W,chr00_14,MSP1,protein-mitochondrial targeting,ATPase activity,mitochondrial outer membrane,viable,-0.323062,0,3909,-0.324986,0,3902,-0.43424,0,3730,-0.189386,0,2615
YNL024C,chr14_4,YNL024C,biological_process unknown,S-adenosylmethionine-dependent methyltransferase activity,cytoplasm,viable,-0.323163,0,3910,0.066048,0,2243,-0.616689,0,4435,0.787948,0,419
YMR027W,chr13_2,YMR027W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,-0.323661,0,3911,0.675685,0,277,-0.73516,0,4597,-0.759791,0,4609
YJR037W,chr00_13,YJR037W,NA,NA,NA,viable,-0.324238,0,3912,-0.232291,0,3676,-0.43889,0,3748,-0.244964,0,2824
YBR113W,chr2_3,YBR113W,NA,NA,NA,viable,-0.324309,0,3913,-0.097281,0,3215,-0.468442,0,3885,-0.865755,0,4686
YJR091C,chr00_12,JSN1,"mRNA catabolism, deadenylylation-dependent",mRNA binding,cellular_component unknown,viable,-0.324621,0,3914,-0.137426,0,3375,-0.346897,0,3317,-0.423994,0,3542
YPL042C,chr16_3,SSN3,protein amino acid phosphorylation*,general RNA polymerase II transcription factor activity*,transcription factor complex,viable,-0.325553,0,3915,-0.53688,0,4254,0.697368,0,455,1.35406,0,165
YGL215W,chr7_3,CLG1,cell cycle,cyclin-dependent protein kinase regulator activity,cyclin-dependent protein kinase holoenzyme complex,viable,-0.326397,0,3916,-0.381001,0,4023,0.434697,0,692,-0.222744,0,2732
YER119C-A,chr00_5,YER119C-A,NA,NA,NA,viable,-0.32683,0,3917,0.034763,0,2440,-0.099312,0,2326,-0.272528,0,2933
YGL248W,chr7_3,PDE1,cAMP-mediated signaling,cAMP-specific phosphodiesterase activity,cellular_component unknown,viable,-0.3272,0,3918,-0.119807,0,3311,0.108755,0,1213,-0.296995,0,3032
YBR118W,chr2_3,TEF2,translational elongation,translation elongation factor activity,ribosome,viable,-0.327428,0,3919,-0.239762,0,3695,0,0,1499,0,0,1499
YMR097C,chr00_9,MTG1,protein biosynthesis*,GTPase activity,mitochondrial inner membrane,viable,-0.328251,0,3920,-0.637511,0,4383,0,0,1890,0,0,1890
YDR423C,chr4_7,CAD1,positive regulation of transcription from Pol II promoter*,RNA polymerase II transcription factor activity,nucleus,viable,-0.328893,0,3921,-0.449867,0,4132,0.163463,0,1104,-0.023383,0,2099
YNL059C,chr00_18,ARP5,protein-vacuolar targeting,molecular_function unknown,nucleus,NA,-0.328961,0,3922,-0.096271,0,3210,0,0,1918,0,0,1918
YKL038W,chr11_1,RGT1,glucose metabolism*,DNA binding*,nucleus,viable,-0.329411,0,3923,0.221543,0,1360,-0.483152,0,3961,-0.591134,0,4223
YDR318W,chr4_6,MCM21,chromosome segregation,protein binding,condensed nuclear chromosome kinetochore*,viable,-0.329704,0,3924,0.15525,0,1713,0.186405,0,1060,1.13968,0,235
YOR167C,chr15_2,RPS28A,protein biosynthesis,structural constituent of ribosome,cytosolic small ribosomal subunit (sensu Eukarya),viable,-0.329738,0,3925,-0.264886,0,3768,-0.01521,0,2070,-0.36916,0,3331
YHR082C,chr8_2,KSP1,protein amino acid phosphorylation,protein serine/threonine kinase activity,nucleus,viable,-0.329892,0,3926,0.008188,0,2580,0.052969,0,1334,-0.165954,0,2545
YIL170W,chr9_2,HXT12,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.329933,0,3927,0.314499,0,937,-0.083927,0,2270,0.599544,0,563
YJR014W,chr00_13,YJR014W,biological_process unknown,RNA binding,cytoplasm,viable,-0.33038,0,3928,-0.263367,0,3764,-0.351532,0,3342,-0.692062,0,4512
YLR080W,chr12_2,EMP46,ER to Golgi transport,molecular_function unknown,Golgi membrane,viable,-0.332138,0,3929,-0.057316,0,3008,-0.33491,0,3268,-0.426609,0,3552
YOR234C,chr15_3,RPL33B,protein biosynthesis,structural constituent of ribosome,cytosolic large ribosomal subunit (sensu Eukarya),viable,-0.332545,0,3930,-0.561905,0,4290,-0.008887,0,2054,0.466819,0,691
YNL318C,chr14_1,HXT14,hexose transport,galactose transporter activity,plasma membrane,viable,-0.332836,0,3931,-0.096505,0,3213,-0.522449,0,4134,-0.658488,0,4439
YKL090W,chr11_1,CUE2,biological_process unknown,protein binding,cellular_component unknown,viable,-0.332901,0,3932,0.315879,0,931,-0.468808,0,3888,-0.588774,0,4213
YOL096C,chr00_6,COQ3,ubiquinone metabolism*,hexaprenyldihydroxybenzoate methyltransferase activity,mitochondrion*,viable,-0.333135,0,3933,-0.146618,0,3409,1.35739,0,175,-1.47151,0,4752
YDR225W,chr4_5,HTA1,chromatin assembly or disassembly,DNA binding,nuclear nucleosome,viable,-0.333557,0,3934,-0.245936,0,3711,-0.402634,0,3592,0.99165,0,305
YPL108W,chr16_2,YPL108W,biological_process unknown,molecular_function unknown,cytoplasm,viable,-0.33378,0,3935,0.794937,0,208,-0.768227,0,4628,-0.225533,0,2745
YDL185W,chr4_2,TFP1,vacuolar acidification*,"hydrogen-transporting ATPase activity, rotational mechanism*",vacuolar membrane (sensu Fungi)*,viable,-0.334032,0,3936,0.424873,0,613,0,0,1555,0,0,1555
YNR045W,chr14_4,PET494,protein biosynthesis,translation regulator activity,mitochondrial inner membrane,viable,-0.334954,0,3937,-0.10233,0,3233,0.147714,0,1129,-0.079536,0,2253
YOL112W,chr00_6,MSB4,actin filament organization,Rab GTPase activator activity,bud tip*,viable,-0.33564,0,3938,0.18279,0,1570,-0.406112,0,3610,-0.43667,0,3591
YLR260W,chr12_4,LCB5,response to heat*,D-erythro-sphingosine kinase activity,membrane fraction*,viable,-0.335843,0,3939,-0.635537,0,4377,0,0,1842,0,0,1842
YPL260W,chr16_1,YPL260W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,-0.336382,0,3940,-0.252152,0,3730,0.076365,0,1277,0.092749,0,1257
YNL177C,chr14_2,MRPL22,protein biosynthesis*,structural constituent of ribosome,mitochondrial large ribosomal subunit,viable,-0.336848,0,3941,-0.226965,0,3664,-0.897396,0,4692,0.698385,0,475
YPL133C,chr16_2,RDS2,response to xenobiotic stimulus,transcription factor activity,cytoplasm*,viable,-0.336952,0,3942,-0.107062,0,3254,-0.593376,0,4380,-0.626473,0,4346
YAL020C,chr1_1,ATS1,bud growth*,molecular_function unknown,cytoplasm,viable,-0.337122,0,3943,-0.372318,0,4002,0.063047,0,1307,0.954989,0,322
YOR080W,chr15_1,DIA2,invasive growth (sensu Saccharomyces),molecular_function unknown,cellular_component unknown,viable,-0.338868,0,3944,-0.60148,0,4342,0,0,1970,0,0,1970
YOR352W,chr15_4,YOR352W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,-0.339498,0,3945,-0.547262,0,4266,-0.14633,0,2469,-0.166881,0,2549
YGL054C,chr7_1,ERV14,ER to Golgi transport*,molecular_function unknown,endoplasmic reticulum membrane*,viable,-0.339598,0,3946,-0.57117,0,4309,0.085242,0,1263,0.670291,0,500
YLR366W,chr12_5,YLR366W,NA,NA,NA,viable,-0.340134,0,3947,-0.404918,0,4070,-0.506683,0,4075,-0.393223,0,3423
YFL018C,chr6_1,LPD1,L-serine biosynthesis*,dihydrolipoyl dehydrogenase activity,mitochondrial matrix*,viable,-0.340485,0,3948,-0.485522,0,4179,0,0,1647,0,0,1647
YML081W,chr13_1b,YML081W,biological_process unknown,molecular_function unknown,nucleus,viable,-0.34079,0,3949,-0.268051,0,3776,0.142653,0,1141,-0.359606,0,3285
YOR201C,chr15_3,PET56,rRNA modification,rRNA (guanine-N1-)-methyltransferase activity,mitochondrion,viable,-0.340806,0,3950,-0.458505,0,4144,0,0,1975,0,0,1975
YCL028W,chr3_1,RNQ1,biological_process unknown,molecular_function unknown,cytosol,viable,-0.341016,0,3951,-0.103145,0,3235,-0.583073,0,4354,-0.311908,0,3087
YDR392W,chr4_7,SPT3,sporulation (sensu Fungi)*,transcription cofactor activity,SAGA complex,viable,-0.342181,0,3952,0.099783,0,2031,0.311606,0,847,1.25614,0,187
YHL029C,chr8_1,YHL029C,metabolism,molecular_function unknown,cytoplasm,viable,-0.343097,0,3953,-0.361019,0,3974,-0.480304,0,3950,-0.538082,0,4025
YGL196W,chr7_3,YGL196W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.344439,0,3954,-0.32676500000000003,0,3911,-0.304474,0,3115,-0.517434,0,3934
YKL020C,chr11_1,SPT23,positive regulation of transcription from Pol II promoter*,transcriptional activator activity,endoplasmic reticulum membrane,viable,-0.344574,0,3955,-0.510288,0,4222,-0.361479,0,3405,-0.569451,0,4140
YIL032C,chr9_1,YIL032C,NA,NA,NA,viable,-0.346549,0,3956,-0.009327,0,2737,0.014776,0,1433,-0.133418,0,2431
YOR350C,chr15_4,MNE1,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.347629,0,3957,-0.158741,0,3449,-0.388317,0,3535,-0.292883,0,3008
YML001W,chr13_2,YPT7,vesicle-mediated transport*,GTPase activity,vacuole,viable,-0.348052,0,3958,-0.095478,0,3204,-0.108779,0,2346,0.412851,0,744
YBR075W,chr00_18,YBR074W_p1,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.348874,0,3959,-0.560869,0,4288,0.008265,0,1450,0.07972,0,1286
YMR170C,chr13_4,ALD2,aldehyde metabolism*,aldehyde dehydrogenase activity,cytoplasm,viable,-0.349001,0,3960,-0.022613,0,2830,-0.219868,0,2765,-0.450633,0,3656
YOR123C,chr15_2,LEO1,transcription from Pol II promoter*,Pol II transcription elongation factor activity,transcription elongation factor complex*,viable,-0.34902300000000003,0,3961,-0.3071,0,3869,1.41161,0,157,0.565412,0,598
YKL031W,chr11_1,YKL031W,NA,NA,NA,viable,-0.349162,0,3962,-0.740537,0,4465,-0.557686,0,4268,-0.432938,0,3575
YOR209C,chr15_3,NPT1,chromatin silencing at telomere*,nicotinate phosphoribosyltransferase activity,nucleus,viable,-0.350854,0,3963,-0.241816,0,3702,0,0,1977,0,0,1977
YGL203C,chr7_3,KEX1,protein processing,carboxypeptidase D activity,Golgi trans face,viable,-0.351003,0,3964,-0.918145,0,4583,-0.357714,0,3380,-0.554364,0,4086
YLR182W,chr12_3,SWI6,meiosis*,protein binding*,cytoplasm*,viable,-0.351387,0,3965,-0.361959,0,3977,0,0,1828,0,0,1828
YCR034W,chr00_1,FEN1,vesicle-mediated transport*,fatty acid elongase activity,endoplasmic reticulum*,viable,-0.351806,0,3966,0.093503,0,2064,0.962319,0,304,1.86341,0,83
YIL020C,chr9_1,HIS6,histidine biosynthesis,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,cell,viable,-0.352492,0,3967,-0.054118,0,2991,-0.576977,0,4336,-0.344319,0,3214
YIL079C,chr9_1,AIR1,mRNA-nucleus export,molecular_function unknown,nucleus*,viable,-0.352768,0,3968,-0.390467,0,4039,0.448098,0,671,-0.855126,0,4678
YML022W,chr00_11,APT1,AMP biosynthesis,adenine phosphoribosyltransferase activity,cytoplasm*,viable,-0.353566,0,3969,0.040365,0,2408,-0.911795,0,4700,-0.925984,0,4707
YNL085W,chr00_16b,MKT1,viral life cycle,molecular_function unknown,cytoplasm,viable,-0.353718,0,3970,-0.476784,0,4166,-0.451404,0,3796,-0.107542,0,2343
YLR304C,chr12_4,ACO1,tricarboxylic acid cycle*,aconitate hydratase activity,cytosol*,viable,-0.353969,0,3971,-0.054794,0,2993,0,0,1848,0,0,1848
YLR181C,chr12_3,VTA1,late endosome to vacuole transport,molecular_function unknown,endosome*,viable,-0.354375,0,3972,-0.023152,0,2834,1.02562,0,278,-0.586552,0,4206
YMR251W-A,chr13_5,HOR7,response to stress,molecular_function unknown,endoplasmic reticulum*,viable,-0.354492,0,3973,-0.225766,0,3662,-0.245026,0,2869,-0.596177,0,4241
YGL124C,chr7_2,MON1,protein-vacuolar targeting*,molecular_function unknown,cytosol*,viable,-0.355031,0,3974,-0.05672,0,3004,-0.041251,0,2138,0.1003,0,1247
YOR205C,chr15_3,FMP38,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.355373,0,3975,-0.284563,0,3818,0,0,1976,0,0,1976
YGL028C,chr7_1,SCW11,"cytokinesis, completion of separation","glucan 1,3-beta-glucosidase activity",cell wall (sensu Fungi),viable,-0.355917,0,3976,-0.468781,0,4156,-0.17074,0,2557,-0.337755,0,3183
YIL086C,chr9_1,YIL086C,NA,NA,NA,viable,-0.356393,0,3977,0.29553,0,1017,-0.392325,0,3550,-0.610148,0,4291
YOL020W,chr15_5,TAT2,aromatic amino acid transport,aromatic amino acid transporter activity,plasma membrane,viable,-0.356737,0,3978,-0.326037,0,3907,-0.186507,0,2625,-0.005393,0,2051
YDR278C,chr4_6,YDR278C,NA,NA,NA,viable,-0.356778,0,3979,-0.168908,0,3474,-0.490888,0,4007,-0.303866,0,3050
YER014W,chr5_2,HEM14,heme biosynthesis,protoporphyrinogen oxidase activity,mitochondrion,viable,-0.358265,0,3980,-0.577933,0,4317,0,0,1632,0,0,1632
YNL278W,chr14_1,CAF120,regulation of transcription from Pol II promoter,molecular_function unknown,CCR4-NOT complex,viable,-0.358524,0,3981,-0.178579,0,3501,-0.483049,0,3960,-0.622542,0,4335
YLR092W,chr12_2,SUL2,sulfate transport,sulfate transporter activity,plasma membrane,viable,-0.359909,0,3982,-0.001513,0,2686,-0.243268,0,2856,-0.070029,0,2219
YOR054C,chr15_1,VHS3,G1/S transition of mitotic cell cycle*,phosphopantothenoylcysteine decarboxylase activity,cellular_component unknown,viable,-0.35992,0,3983,-0.324757,0,3901,0,0,1968,0,0,1968
YOL095C,chr00_6,HMI1,mitochondrial genome maintenance,ATP-dependent DNA helicase activity,mitochondrial matrix,viable,-0.360412,0,3984,-0.46774,0,4155,0,0,1961,0,0,1961
YMR127C,chr00_9,SAS2,chromatin silencing at telomere,H3/H4 histone acetyltransferase activity*,nuclear chromatin*,viable,-0.360785,0,3985,0.094775,0,2052,-0.617666,0,4440,-0.755452,0,4603
YIR038C,chr00_3,GTT1,glutathione metabolism,glutathione transferase activity,endoplasmic reticulum,viable,-0.361729,0,3986,-0.476297,0,4165,-0.107969,0,2343,0.177952,0,1099
YIL133C,chr9_2,RPL16A,protein biosynthesis,structural constituent of ribosome*,cytosolic large ribosomal subunit (sensu Eukarya),viable,-0.363251,0,3987,-0.892739,0,4569,-0.727665,0,4594,-0.524819,0,3965
YPR154W,chr16_5,PIN3,actin cytoskeleton organization and biogenesis,molecular_function unknown,cytoplasm*,viable,-0.363377,0,3988,-0.161247,0,3458,0.186016,0,1061,-0.331137,0,3157
YGR104C,chr7_4,SRB5,transcription from Pol II promoter,RNA polymerase II transcription mediator activity,mediator complex,viable,-0.363387,0,3989,0.048459,0,2350,0,0,1688,0,0,1688
YJL170C,chr10_1,ASG7,conjugation with cellular fusion,molecular_function unknown,plasma membrane,viable,-0.36385,0,3990,-0.550084,0,4275,-0.200246,0,2674,-0.359856,0,3287
YHR111W,chr8_2,UBA4,protein modification,URM1 activating enzyme activity,cytoplasm,viable,-0.366934,0,3991,-0.646136,0,4392,-1.01446,0,4720,0.079218,0,1287
YOR368W,chr15_4,RAD17,meiotic recombination*,exonuclease activity,nucleus,viable,-0.367238,0,3992,-0.561918,0,4291,0.829388,0,367,0.704322,0,471
YHR064C,chr00_8,SSZ1,protein biosynthesis,unfolded protein binding,cytoplasm,viable,-0.367813,0,3993,0.106039,0,1997,0,0,1721,0,0,1721
YGL031C,chr7_1,RPL24A,protein biosynthesis,structural constituent of ribosome*,cytosolic large ribosomal subunit (sensu Eukarya),viable,-0.368541,0,3994,-0.373652,0,4006,1.11219,0,243,-0.208516,0,2688
YDR205W,chr00_14,MSC2,zinc ion homeostasis,cation:cation antiporter activity,nucleus*,viable,-0.368749,0,3995,-0.173008,0,3483,0.571457,0,548,0.42659,0,734
YEL050C,chr5_2,RML2,protein biosynthesis*,structural constituent of ribosome,mitochondrial large ribosomal subunit,viable,-0.369404,0,3996,-0.597367,0,4338,0.01282,0,1440,0.401853,0,759
YDR375C,chr4_7,BCS1,aerobic respiration,ATPase activity,mitochondrial inner membrane,viable,-0.370389,0,3997,-0.341995,0,3942,0.422043,0,708,-0.328569,0,3144
YNL236W,chr14_2,SIN4,transcription from Pol II promoter,RNA polymerase II transcription mediator activity,mediator complex,viable,-0.370425,0,3998,0.136393,0,1824,0.394911,0,733,0.928981,0,336
YML010W-A,chr13_2,YML009W-B,NA,NA,NA,viable,-0.370704,0,3999,-0.480148,0,4170,0.583852,0,538,1.19322,0,209
YBR179C,chr2_4,FZO1,mitochondrion organization and biogenesis*,GTPase activity,mitochondrial outer membrane,viable,-0.371437,0,4000,1.09307,0,115,0,0,1505,0,0,1505
YPR047W,chr16_4,MSF1,protein biosynthesis,phenylalanine-tRNA ligase activity,mitochondrion,viable,-0.372086,0,4001,0.230452,0,1304,0,0,2014,0,0,2014
YPR091C,chr00_18,YPR091C,biological_process unknown,molecular_function unknown,endoplasmic reticulum,NA,-0.372538,0,4002,-0.095126,0,3203,-0.415406,0,3647,-0.765315,0,4614
YMR282C,chr13_5,AEP2,protein biosynthesis,molecular_function unknown,mitochondrion,viable,-0.372565,0,4003,0.080943,0,2132,-0.815536,0,4661,-0.551524,0,4077
YKL187C,chr11_2,YKL187C,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.373678,0,4004,-0.37828,0,4017,-0.248828,0,2888,-0.318081,0,3112
YNL334C,chr14_1,SNO2,thiamin biosynthesis*,molecular_function unknown,cellular_component unknown,viable,-0.374418,0,4005,-0.680273,0,4421,0.092998,0,1243,-0.142816,0,2457
YBR044C,chr2_2,TCM62,protein complex assembly,unfolded protein binding,mitochondrial inner membrane,viable,-0.374449,0,4006,-0.293978,0,3838,0.973211,0,298,-0.505921,0,3885
YML110C,chr00_9,COQ5,aerobic respiration*,ubiquinone biosynthesis methyltransferase activity,mitochondrion,viable,-0.374856,0,4007,-0.338564,0,3934,0,0,1878,0,0,1878
YMR259C,chr13_5,YMR259C,biological_process unknown,molecular_function unknown,cytoplasm,viable,-0.37526,0,4008,-0.347131,0,3948,0.105889,0,1217,-0.559951,0,4109
YCR079W,chr00_1,YCR079W,biological_process unknown,phosphoprotein phosphatase activity,mitochondrion,viable,-0.375526,0,4009,0.047314,0,2360,-0.689823,0,4557,-0.573048,0,4157
YDR252W,chr4_6,BTT1,nascent polypeptide association,unfolded protein binding,cytosolic ribosome (sensu Eukarya)*,viable,-0.375663,0,4010,0.146177,0,1761,-0.458324,0,3833,-0.012867,0,2072
YBL060W,chr2_1,YBL060W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,-0.376318,0,4011,-0.409771,0,4078,0.532838,0,576,0.287122,0,906
YLR278C,chr12_4,YLR278C,biological_process unknown,molecular_function unknown,nucleus,viable,-0.377052,0,4012,-0.507516,0,4211,0.080156,0,1268,-0.146188,0,2469
YGL214W,chr7_3/chr00_12,YGL214W,NA,NA,NA,viable,-0.377066,0,4013,-0.329178,0,3919,-0.261342,0,2940,-0.232402,0,2771
YDL080C,chr4_1,THI3,thiamin biosynthesis,transcriptional activator activity*,nucleus,viable,-0.377131,0,4014,-0.506979,0,4209,0.447011,0,674,0.245316,0,981
YKL087C,chr11_1,CYT2,cytochrome c-heme linkage,holocytochrome-c synthase activity,mitochondrial intermembrane space,viable,-0.377455,0,4015,-0.276587,0,3797,-0.67611,0,4539,-0.661695,0,4448
YGR286C,chr00_3,BIO2,biotin biosynthesis,biotin synthase activity,mitochondrion,viable,-0.377863,0,4016,0.237147,0,1265,-0.674228,0,4535,-0.639161,0,4376
YNR018W,chr14_4,YNR018W,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.378785,0,4017,-0.327211,0,3913,0.020867,0,1413,0.241898,0,989
YMR071C,chr00_6,TVP18,biological_process unknown,molecular_function unknown,clathrin-coated vesicle,viable,-0.378958,0,4018,0.173415,0,1611,-0.260183,0,2931,-0.063205,0,2204
YPL197C,chr16_1,YPL197C,NA,NA,NA,viable,-0.379123,0,4019,-0.241916,0,3703,-0.107678,0,2341,-0.30727,0,3072
YER111C,chr00_5,SWI4,G1/S transition of mitotic cell cycle*,transcription factor activity,nucleus,viable,-0.379893,0,4020,-0.119018,0,3306,1.29178,0,193,0.349074,0,824
YJL191W,chr00_14,RPS14B,protein biosynthesis*,structural constituent of ribosome*,cytosolic small ribosomal subunit (sensu Eukarya),viable,-0.380658,0,4021,-0.566073,0,4296,0.503154,0,601,0.349874,0,822
YLR131C,chr12_3,ACE2,G1-specific transcription in mitotic cell cycle,transcriptional activator activity,nucleus*,viable,-0.381588,0,4022,-0.180728,0,3510,0.820943,0,371,0.772944,0,423
YOR314W,chr15_4,YOR314W,NA,NA,NA,viable,-0.38192,0,4023,-0.599343,0,4341,-0.319907,0,3192,-0.250119,0,2845
YGL034C,chr7_1,YGL034C,NA,NA,NA,viable,-0.3828,0,4024,-0.125678,0,3336,-0.210608,0,2717,0.657488,0,509
YPL250C,chr16_1,ICY2,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.382975,0,4025,-0.641627,0,4386,-0.426089,0,3697,-0.651399,0,4418
YNL160W,chr14_2,YGP1,response to stress*,molecular_function unknown,cell wall (sensu Fungi),viable,-0.384017,0,4026,-0.554892,0,4282,0.242828,0,949,0.6236,0,539
YHR043C,chr8_1,DOG2,response to stress*,2-deoxyglucose-6-phosphatase activity,cytoplasm*,viable,-0.384292,0,4027,-0.312361,0,3878,-0.370585,0,3446,-0.44053,0,3613
YLR225C,chr12_3,YLR225C,biological_process unknown,molecular_function unknown,cytoplasm,viable,-0.384646,0,4028,-0.159407,0,3451,-0.035178,0,2123,0.11116,0,1222
YGR038W,chr00_14,ORM1,response to unfolded protein,molecular_function unknown,endoplasmic reticulum,viable,-0.385231,0,4029,-0.372097,0,4001,0.339492,0,804,0.315127,0,869
YOR120W,chr15_2,GCY1,response to salt stress*,aldo-keto reductase activity,cytoplasm*,viable,-0.385302,0,4030,-0.001904,0,2690,-0.197308,0,2662,0.393674,0,766
YIL123W,chr9_2,SIM1,microtubule cytoskeleton organization and biogenesis,molecular_function unknown,cell wall (sensu Fungi),viable,-0.385336,0,4031,-0.232246,0,3675,0.061286,0,1312,0.947669,0,328
YNL225C,chr14_2,CNM67,microtubule nucleation,structural constituent of cytoskeleton,spindle pole body*,viable,-0.385365,0,4032,-0.789053,0,4490,0,0,1934,0,0,1934
YPR099C,chr16_4,YPR099C,NA,NA,NA,viable,-0.387119,0,4033,-0.264537,0,3767,0.720237,0,437,0.565507,0,597
YDR458C,chr4_8,YDR458C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.388411,0,4034,-0.489083,0,4186,-0.120765,0,2378,-0.249918,0,2844
YDL136W,chr4_2,RPL35B,protein biosynthesis,structural constituent of ribosome,cytosolic large ribosomal subunit (sensu Eukarya),viable,-0.389914,0,4035,-0.887023,0,4564,-0.678921,0,4542,-0.607721,0,4284
YPL163C,chr16_2,SVS1,response to chemical substance,molecular_function unknown,cell wall (sensu Fungi)*,viable,-0.390695,0,4036,0.021274,0,2502,0.012252,0,1443,-0.428954,0,3563
YJR055W,chr00_17b,HIT1_1,biological_process unknown,molecular_function unknown,cytoplasm*,viable,-0.392252,0,4037,-1.08905,0,4661,0,0,1772,0,0,1772
YKL171W,chr11_2,YKL171W,proteolysis and peptidolysis,protein kinase activity,cytoplasm,viable,-0.393724,0,4038,-0.514292,0,4231,-0.479676,0,3946,-0.085409,0,2270
YOR104W,chr15_2,PIN2,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.394753,0,4039,-0.111107,0,3273,-0.013275,0,2065,0.683036,0,488
YIL007C,chr9_1,NAS2,ubiquitin-dependent protein catabolism,molecular_function unknown,cytoplasm,viable,-0.394849,0,4040,0.069102,0,2221,-0.24492,0,2868,1.06839,0,266
YBR269C,chr00_1,FMP21,biological_process unknown,molecular_function unknown,mitochondrion,viable,-0.394864,0,4041,-0.422007,0,4096,-0.746724,0,4608,-0.30682,0,3065
YCL057W,chr3_1,PRD1,proteolysis and peptidolysis,metalloendopeptidase activity*,cytoplasm*,viable,-0.395096,0,4042,0.01653,0,2526,-0.360961,0,3402,-0.414937,0,3514
YMR242C,chr13_5,RPL20A,protein biosynthesis,structural constituent of ribosome,cytosolic large ribosomal subunit (sensu Eukarya),viable,-0.395203,0,4043,0.707543,0,251,1.69427,0,107,1.52987,0,124
YCR102C,chr00_2,YCR102C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.395684,0,4044,-0.086176,0,3161,-0.261854,0,2944,-0.330081,0,3150
YLR372W,chr12_5,SUR4,sphingolipid biosynthesis*,fatty acid elongase activity,endoplasmic reticulum*,viable,-0.395864,0,4045,-1.32689,0,4729,0,0,1860,0,0,1860
YMR122C,chr00_9,YMR122C,NA,NA,NA,viable,-0.396237,0,4046,-0.603156,0,4344,-0.397909,0,3575,-0.398095,0,3442
YKL008C,chr11_1,LAC1,ceramide biosynthesis*,sphingosine N-acyltransferase activity,endoplasmic reticulum,viable,-0.396329,0,4047,-0.190833,0,3552,-0.245606,0,2871,-0.36285,0,3298
YDR306C,chr4_6,YDR306C,ubiquitin-dependent protein catabolism,protein binding,ubiquitin ligase complex,viable,-0.397315,0,4048,0.069041,0,2222,0.328473,0,825,-0.604543,0,4273
YML107C,chr00_9,YML107C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,-0.397451,0,4049,-0.266612,0,3774,-0.067363,0,2216,-0.065625,0,2211
YPL191C,chr16_1,YPL191C,biological_process unknown,molecular_function unknown,cytoplasm,viable,-0.398147,0,4050,-0.12137,0,3319,-0.47745,0,3936,-0.060165,0,2194
YLR143W,chr12_3,YLR143W,biological_process unknown,molecular_function unknown,cytoplasm,viable,-0.398242,0,4051,-0.510149,0,4219,1.4249,0,155,1.56662,0,115
